step,phase,x,y,z
368,warmup,13.745201,5.933816,40.825204
369,warmup,12.964063,4.111628,40.552147
370,warmup,12.078819,2.443243,40.003791
371,warmup,11.115262,0.968895,39.232138
372,warmup,10.100625,-0.289276,38.293643
373,warmup,9.061635,-1.326105,37.243260
374,warmup,8.022861,-2.150435,36.129940
375,warmup,7.005531,-2.781184,34.993948
376,warmup,6.026860,-3.243335,33.865940
377,warmup,5.099840,-3.564434,32.767377
378,warmup,4.233413,-3.771918,31.711799
379,warmup,3.432880,-3.891335,30.706471
380,warmup,2.700458,-3.945331,29.754046
381,warmup,2.035879,-3.953245,28.854063
382,warmup,1.436967,-3.931101,28.004138
383,warmup,0.900160,-3.891849,27.200873
384,warmup,0.420959,-3.845737,26.440483
385,warmup,-0.005711,-3.800715,25.719215
386,warmup,-0.385211,-3.762838,25.033586
387,warmup,-0.722974,-3.736637,24.380518
388,warmup,-1.024340,-3.725438,23.757386
389,warmup,-1.294450,-3.731643,23.162017
390,warmup,-1.538169,-3.756951,22.592668
391,warmup,-1.760047,-3.802556,22.047985
392,warmup,-1.964298,-3.869288,21.526965
393,warmup,-2.154797,-3.957745,21.028917
394,warmup,-2.335092,-4.068381,20.553427
395,warmup,-2.508421,-4.201581,20.100336
396,warmup,-2.677737,-4.357722,19.669721
397,warmup,-2.845735,-4.537208,19.261883
398,warmup,-3.014883,-4.740499,18.877350
399,warmup,-3.187444,-4.968132,18.516874
400,warmup,-3.365513,-5.220720,18.181448
401,warmup,-3.551034,-5.498957,17.872313
402,warmup,-3.745826,-5.803605,17.590988
403,warmup,-3.951604,-6.135472,17.339288
404,warmup,-4.169991,-6.495387,17.119356
405,warmup,-4.402530,-6.884155,16.933697
406,warmup,-4.650693,-7.302511,16.785209
407,warmup,-4.915875,-7.751051,16.677221
408,warmup,-5.199392,-8.230154,16.613527
409,warmup,-5.502468,-8.739880,16.598417
410,warmup,-5.826210,-9.279850,16.636702
411,warmup,-6.171574,-9.849101,16.733720
412,warmup,-6.539326,-10.445917,16.895332
413,warmup,-6.929985,-11.067628,17.127882
414,warmup,-7.343750,-11.710388,17.438124
415,warmup,-7.780413,-12.368922,17.833089
416,warmup,-8.239264,-13.036260,18.319893
417,warmup,-8.718964,-13.703467,18.905454
418,warmup,-9.217414,-14.359383,19.596109
419,warmup,-9.731611,-14.990410,20.397110
420,warmup,-10.257491,-15.580390,21.311996
421,warmup,-10.789781,-16.110607,22.341833
422,warmup,-11.321863,-16.560005,23.484350
423,warmup,-11.845678,-16.905661,24.733002
424,warmup,-12.351676,-17.123602,26.076045
425,warmup,-12.828869,-17.190007,27.495736
426,warmup,-13.264982,-17.082798,28.967799
427,warmup,-13.646764,-16.783592,30.461355
428,warmup,-13.960447,-16.279861,31.939469
429,warmup,-14.192388,-15.567094,33.360491
430,warmup,-14.329859,-14.650642,34.680221
431,warmup,-14.361937,-13.546869,35.854831
432,warmup,-14.280430,-12.283295,36.844295
433,warmup,-14.080717,-10.897458,37.615888
434,warmup,-13.762391,-9.434498,38.147238
435,warmup,-13.329602,-7.943650,38.428391
436,warmup,-12.791006,-6.474151,38.462490
437,warmup,-12.159321,-5.071152,38.264933
438,warmup,-11.450504,-3.772294,37.861152
439,warmup,-10.682683,-2.605419,37.283468
440,warmup,-9.874957,-1.587642,36.567571
441,warmup,-9.046225,-0.725721,35.749215
442,warmup,-8.214175,-0.017453,34.861553
443,warmup,-7.394502,0.546342,33.933345
444,warmup,-6.600418,0.979620,32.988057
