step,phase,x,y,z
325,warmup,-7.605257,-10.728456,20.681567
326,warmup,-7.917577,-11.177757,20.945985
327,warmup,-8.243595,-11.624487,21.272433
328,warmup,-8.581684,-12.062835,21.663444
329,warmup,-8.929800,-12.485990,22.120946
330,warmup,-9.285419,-12.886118,22.646028
331,warmup,-9.645489,-13.254396,23.238664
332,warmup,-10.006379,-13.581106,23.897418
333,warmup,-10.363852,-13.855815,24.619130
334,warmup,-10.713048,-14.067645,25.398616
335,warmup,-11.048508,-14.205656,26.228393
336,warmup,-11.364223,-14.259336,27.098483
337,warmup,-11.653734,-14.219193,27.996319
338,warmup,-11.910280,-14.077430,28.906817
339,warmup,-12.126995,-13.828651,29.812630
340,warmup,-12.297160,-13.470547,30.694626
341,warmup,-12.414499,-13.004479,31.532598
342,warmup,-12.473497,-12.435880,32.306169
343,warmup,-12.469735,-11.774391,32.995861
344,warmup,-12.400201,-11.033676,33.584206
345,warmup,-12.263548,-10.230887,34.056826
346,warmup,-12.060282,-9.385796,34.403313
347,warmup,-11.792834,-8.519681,34.617845
348,warmup,-11.465518,-7.654052,34.699414
349,warmup,-11.084372,-6.809389,34.651674
350,warmup,-10.656874,-6.003999,34.482407
351,warmup,-10.191586,-5.253137,34.202715
352,warmup,-9.697741,-4.568451,33.826020
353,warmup,-9.184812,-3.957774,33.367030
354,warmup,-8.662108,-3.425245,32.840756
355,warmup,-8.138422,-2.971681,32.261701
356,warmup,-7.621748,-2.595129,31.643237
357,warmup,-7.119086,-2.291499,30.997212
358,warmup,-6.636327,-2.055210,30.333753
359,warmup,-6.178216,-1.879782,29.661243
360,warmup,-5.748372,-1.758349,28.986414
361,warmup,-5.349370,-1.684063,28.314519
362,warmup,-4.982839,-1.650398,27.649552
363,warmup,-4.649595,-1.651356,26.994468
364,warmup,-4.349771,-1.681596,26.351396
365,warmup,-4.082954,-1.736490,25.721838
366,warmup,-3.848307,-1.812141,25.106822
367,warmup,-3.644691,-1.905358,24.507044
368,warmup,-3.470757,-2.013612,23.922967
369,warmup,-3.325043,-2.134980,23.354909
370,warmup,-3.206037,-2.268082,22.803100
371,warmup,-3.112241,-2.412015,22.267733
372,warmup,-3.042219,-2.566297,21.748995
373,warmup,-2.994626,-2.730803,21.247094
374,warmup,-2.968244,-2.905720,20.762282
375,warmup,-2.961992,-3.091496,20.294870
376,warmup,-2.974942,-3.288806,19.845243
377,warmup,-3.006328,-3.498517,19.413877
378,warmup,-3.055547,-3.721659,19.001351
379,warmup,-3.122158,-3.959400,18.608365
380,warmup,-3.205883,-4.213028,18.235761
381,warmup,-3.306597,-4.483928,17.884538
382,warmup,-3.424330,-4.773566,17.555883
383,warmup,-3.559254,-5.083472,17.251189
384,warmup,-3.711676,-5.415214,16.972091
385,warmup,-3.882030,-5.770382,16.720497
386,warmup,-4.070865,-6.150552,16.498625
387,warmup,-4.278834,-6.557252,16.309042
388,warmup,-4.506675,-6.991916,16.154708
389,warmup,-4.755199,-7.455826,16.039019
390,warmup,-5.025262,-7.950036,15.965851
391,warmup,-5.317740,-8.475283,15.939605
392,warmup,-5.633494,-9.031871,15.965243
393,warmup,-5.973332,-9.619530,16.048313
394,warmup,-6.337951,-10.237248,16.194964
395,warmup,-6.727881,-10.883073,16.411930
396,warmup,-7.143400,-11.553874,16.706479
397,warmup,-7.584448,-12.245077,17.086312
398,warmup,-8.050511,-12.950369,17.559399
399,warmup,-8.540496,-13.661387,18.133719
400,warmup,-9.052585,-14.367402,18.816903
401,warmup,-9.584067,-15.055036,19.615741
402,warmup,-10.131164,-15.708039,20.535539
403,warmup,-10.688851,-16.307195,21.579332
404,warmup,-11.250686,-16.830419,22.746935
405,warmup,-11.808659,-17.253120,24.033887
406,warmup,-12.353105,-17.548934,25.430346
407,warmup,-12.872688,-17.690877,26.920042
408,warmup,-13.354507,-17.652988,28.479465
409,warmup,-13.784355,-17.412428,30.077482
410,warmup,-14.147162,-16.951936,31.675607
411,warmup,-14.427640,-16.262422,33.229142
412,warmup,-14.611118,-15.345356,34.689315
413,warmup,-14.684542,-14.214519,36.006395
414,warmup,-14.637539,-12.896671,37.133561
415,warmup,-14.463453,-11.430776,38.031088
416,warmup,-14.160185,-9.865627,38.670211
417,warmup,-13.730729,-8.256049,39.035996
418,warmup,-13.183261,-6.658166,39.128652
419,warmup,-12.530752,-5.124465,38.962985
420,warmup,-11.790123,-3.699476,38.566106
421,warmup,-10.981058,-2.416724,37.973849
422,warmup,-10.124625,-1.297323,37.226595
423,warmup,-9.241895,-0.350191,36.365235
424,warmup,-8.352724,0.426417,35.427859
425,warmup,-7.474810,1.042581,34.447499
426,warmup,-6.623071,1.514094,33.450968
427,warmup,-5.809354,1.859974,32.458663
428,warmup,-5.042422,2.100394,31.485046
429,warmup,-4.328140,2.255121,30.539534
430,warmup,-3.669814,2.342484,29.627542
431,warmup,-3.068584,2.378787,28.751509
432,warmup,-2.523847,2.378060,27.911807
433,warmup,-2.033656,2.352053,27.107474
434,warmup,-1.595085,2.310382,26.336775
435,warmup,-1.204539,2.260748,25.597608
436,warmup,-0.858010,2.209203,24.887774
437,warmup,-0.551289,2.160408,24.205145
438,warmup,-0.280119,2.117883,23.547764
439,warmup,-0.040319,2.084233,22.913891
440,warmup,0.172136,2.061340,22.302014
441,warmup,0.361057,2.050535,21.710842
442,warmup,0.530005,2.052737,21.139290
443,warmup,0.682278,2.068572,20.586455
444,warmup,0.820907,2.098467,20.051596
445,warmup,0.948663,2.142731,19.534113
446,warmup,1.068070,2.201617,19.033531
447,warmup,1.181425,2.275369,18.549485
448,warmup,1.290819,2.364266,18.081714
449,warmup,1.398164,2.468650,17.630053
450,warmup,1.505212,2.588952,17.194434
451,warmup,1.613586,2.725710,16.774885
452,warmup,1.724799,2.879579,16.371536
453,warmup,1.840277,3.051351,15.984629
454,warmup,1.961384,3.241954,15.614526
455,warmup,2.089441,3.452461,15.261725
456,warmup,2.225743,3.684095,14.926883
457,warmup,2.371578,3.938228,14.610832
458,warmup,2.528243,4.216380,14.314607
459,warmup,2.697057,4.520217,14.039485
460,warmup,2.879373,4.851538,13.787012
461,warmup,3.076589,5.212267,13.559052
462,warmup,3.290157,5.604433,13.357837
463,warmup,3.521585,6.030139,13.186023
464,warmup,3.772440,6.491524,13.046752
465,warmup,4.044349,6.990711,12.943727
466,warmup,4.338985,7.529733,12.881290
467,warmup,4.658060,8.110434,12.864503
468,warmup,5.003297,8.734350,12.899238
469,warmup,5.376402,9.402542,12.992264
470,warmup,5.779016,10.115393,13.151322
471,warmup,6.212654,10.872347,13.385191
472,warmup,6.678623,11.671591,13.703714
473,warmup,7.177920,12.509670,14.117783
474,warmup,7.711095,13.381028,14.639243
475,warmup,8.278088,14.277478,15.280687
476,warmup,8.878027,15.187619,16.055104
477,warmup,9.508987,16.096214,16.975329
478,warmup,10.167709,16.983587,18.053240
479,warmup,10.849297,17.825108,19.298662
480,warmup,11.546878,18.590891,20.717930
481,warmup,12.251280,19.245834,22.312120
482,warmup,12.950735,19.750214,24.074991
483,warmup,13.630683,20.061029,25.990789
484,warmup,14.273718,20.134288,28.032156
485,warmup,14.859775,19.928355,30.158544
486,warmup,15.366633,19.408317,32.315625
487,warmup,15.770801,18.551068,34.436279
488,warmup,16.048828,17.350504,36.443631
489,warmup,16.178995,15.821896,38.256353
490,warmup,16.143285,14.004302,39.796007
491,warmup,15.929387,11.959995,40.995535
492,warmup,15.532448,9.770286,41.807475
493,warmup,14.956232,7.527945,42.210173
494,warmup,14.213403,5.327359,42.210466
495,warmup,13.324799,3.254295,41.842052
496,warmup,12.317748,1.377326,41.159892
497,warmup,11.223706,-0.257450,40.231951
498,warmup,10.075590,-1.627753,39.130203
499,warmup,8.905256,-2.732910,37.922725
500,warmup,7.741440,-3.589225,36.668080
501,warmup,6.608373,-4.224366,35.412407
502,warmup,5.525099,-4.671962,34.188914
503,warmup,4.505393,-4.967186,33.019079
504,warmup,3.558135,-5.143644,31.914779
505,warmup,2.687957,-5.231500,30.880701
506,warmup,1.896011,-5.256617,29.916595
507,warmup,1.180749,-5.240390,29.019153
508,warmup,0.538635,-5.200020,28.183433
509,warmup,-0.035231,-5.149008,27.403866
510,warmup,-0.546608,-5.097728,26.674910
511,warmup,-1.001720,-5.053993,25.991444
512,warmup,-1.406948,-5.023574,25.348965
513,warmup,-1.768610,-5.010637,24.743672
514,warmup,-2.092813,-5.018122,24.172459
515,warmup,-2.385344,-5.048044,23.632880
516,warmup,-2.651614,-5.101734,23.123083
517,warmup,-2.896626,-5.180034,22.641746
518,warmup,-3.124967,-5.283442,22.188013
519,warmup,-3.340814,-5.412230,21.761438
520,warmup,-3.547956,-5.566527,21.361946
521,warmup,-3.749813,-5.746377,20.989792
522,warmup,-3.949469,-5.951783,20.645542
523,warmup,-4.149701,-6.182727,20.330058
524,warmup,-4.353003,-6.439179,20.044488
525,warmup,-4.561621,-6.721091,19.790266
526,warmup,-4.777568,-7.028377,19.569116
